太陽の都	Capital of the Sun
ダークエルフ国	Dark Elf nation
グール国	Ghoul nation
ハイコボルト国	High Kobold nation
ノーブルオーク王国	Noble Orc kingdom
ラムダ	Lambda
タロスヘイム	Talosheim
ハイゴブリン国	High Goblin nation
人魚国	Merfolk nation
ラミア国	Lamia nation
竜人国	Drakonid nation
ケンタウロス国	Centaur nation
ハーピィー国	Harpy nation
ハーピィ国	Harpy nation
魔人国	Majin nation
鬼人国	Kijin nation
バーンガイア大陸	 Bahn Gaia continent
アミッド帝国	 Amid Empire
ミルグ盾国	 Mirg Shield Nation
オルバウム選王国	Orbaume Kingdom
ヴィダの寝所	Vida’s Resting Ground
公衆浴場	Public bathhouse
カプリコーン農場	Capricorn farm
カプリコーン乳加工場	Capricorn milking factory
ヒュージカピバラ牧場	Huge Capybara farm
魔鴨の養殖場	Duck farm
サウロン解放戦線アジト	Sauron Liberation Front base
ニアーキ	Niarki